Xvalue,Yvalue,Zvalue,,TPC,PD,Prob,,X90,Y90,Z90,,X80,Y80,Z80,,X70,Y70,Z70,,X60,Y60,Z60
112.9,3598.5,0.8684,,,,,,,,,,112.9,3598.5,0.8684,,,,,,,,
116.5,3358,0.8684,,,,,,,,,,116.5,3358,0.8684,,,,,,,,
116.2,3365.4,0.8684,,,,,,,,,,116.2,3365.4,0.8684,,,,,,,,
114.9,3423.4,0.8678,,,,,,,,,,114.9,3423.4,0.8678,,,,,,,,
121.1,3266.3,0.8674,,,,,,,,,,121.1,3266.3,0.8674,,,,,,,,
124.4,3239.2,0.8672,,,,,,,,,,124.4,3239.2,0.8672,,,,,,,,
114.7,3435.3,0.8672,,,,,,,,,,114.7,3435.3,0.8672,,,,,,,,
114.6,3424.7,0.8664,,,,,,,,,,114.6,3424.7,0.8664,,,,,,,,
116.5,3344.3,0.8662,,,,,,,,,,116.5,3344.3,0.8662,,,,,,,,
111.4,3952.8,0.8654,,,,,,,,,,111.4,3952.8,0.8654,,,,,,,,
114.1,3441.7,0.8644,,,,,,,,,,114.1,3441.7,0.8644,,,,,,,,
115.5,3363.7,0.8644,,,,,,,,,,115.5,3363.7,0.8644,,,,,,,,
118.1,3290.2,0.8636,,,,,,,,,,118.1,3290.2,0.8636,,,,,,,,
114.4,3420.6,0.8634,,,,,,,,,,114.4,3420.6,0.8634,,,,,,,,
111.4,3789.3,0.8622,,,,,,,,,,111.4,3789.3,0.8622,,,,,,,,
114.7,3392,0.862,,,,,,,,,,114.7,3392,0.862,,,,,,,,
117.1,3306.5,0.8616,,,,,,,,,,117.1,3306.5,0.8616,,,,,,,,
121,3246.9,0.861,,,,,,,,,,121,3246.9,0.861,,,,,,,,
132.3,3208.4,0.8606,,,,,,,,,,132.3,3208.4,0.8606,,,,,,,,
112.1,3610,0.8602,,,,,,,,,,112.1,3610,0.8602,,,,,,,,
123.5,3226.2,0.86,,,,,,,,,,123.5,3226.2,0.86,,,,,,,,
121.2,3240.2,0.8588,,,,,,,,,,121.2,3240.2,0.8588,,,,,,,,
113.8,3413.9,0.8586,,,,,,,,,,113.8,3413.9,0.8586,,,,,,,,
115.7,3333,0.8586,,,,,,,,,,115.7,3333,0.8586,,,,,,,,
112.5,3531.1,0.8582,,,,,,,,,,112.5,3531.1,0.8582,,,,,,,,
112.9,3480.6,0.8582,,,,,,,,,,112.9,3480.6,0.8582,,,,,,,,
111.6,3644.3,0.8574,,,,,,,,,,111.6,3644.3,0.8574,,,,,,,,
110.8,4013.8,0.8572,,,,,,,,,,110.8,4013.8,0.8572,,,,,,,,
128,3206.2,0.8572,,,,,,,,,,128,3206.2,0.8572,,,,,,,,
120.3,3243.4,0.8568,,,,,,,,,,120.3,3243.4,0.8568,,,,,,,,
121.4,3233.2,0.8566,,,,,,,,,,121.4,3233.2,0.8566,,,,,,,,
116.9,3293.1,0.8564,,,,,,,,,,116.9,3293.1,0.8564,,,,,,,,
110.9,3832.2,0.8562,,,,,,,,,,110.9,3832.2,0.8562,,,,,,,,
121,3235.5,0.8556,,,,,,,,,,121,3235.5,0.8556,,,,,,,,
140.8,3196,0.8552,,,,,,,,,,140.8,3196,0.8552,,,,,,,,
113.3,3423.8,0.8552,,,,,,,,,,113.3,3423.8,0.8552,,,,,,,,
117.1,3279.8,0.8546,,,,,,,,,,117.1,3279.8,0.8546,,,,,,,,
113.5,3409.1,0.8542,,,,,,,,,,113.5,3409.1,0.8542,,,,,,,,
120.6,3231.9,0.854,,,,,,,,,,120.6,3231.9,0.854,,,,,,,,
114.7,3345.7,0.8536,,,,,,,,,,114.7,3345.7,0.8536,,,,,,,,
112.4,3490.7,0.8532,,,,,,,,,,112.4,3490.7,0.8532,,,,,,,,
123.9,3209,0.8526,,,,,,,,,,123.9,3209,0.8526,,,,,,,,
123.1,3212.1,0.8526,,,,,,,,,,123.1,3212.1,0.8526,,,,,,,,
111,3719.5,0.8522,,,,,,,,,,111,3719.5,0.8522,,,,,,,,
110.4,3989.6,0.8518,,,,,,,,,,110.4,3989.6,0.8518,,,,,,,,
115,3327.6,0.8518,,,,,,,,,,115,3327.6,0.8518,,,,,,,,
115.4,3312.7,0.8516,,,,,,,,,,115.4,3312.7,0.8516,,,,,,,,
110.4,3831.5,0.85,,,,,,,,,,110.4,3831.5,0.85,,,,,,,,
124.2,3202.8,0.8498,,,,,,,,,,124.2,3202.8,0.8498,,,,,,,,
124.3,3200.8,0.8494,,,,,,,,,,124.3,3200.8,0.8494,,,,,,,,
141.1,3185.5,0.8492,,,,,,,,,,141.1,3185.5,0.8492,,,,,,,,
112.2,3467,0.849,,,,,,,,,,112.2,3467,0.849,,,,,,,,
118.6,3239.3,0.849,,,,,,,,,,118.6,3239.3,0.849,,,,,,,,
110.2,3819.9,0.848,,,,,,,,,,110.2,3819.9,0.848,,,,,,,,
112.7,3410.4,0.848,,,,,,,,,,112.7,3410.4,0.848,,,,,,,,
117.6,3248.5,0.8478,,,,,,,,,,117.6,3248.5,0.8478,,,,,,,,
112.8,3400.3,0.8474,,,,,,,,,,112.8,3400.3,0.8474,,,,,,,,
113.5,3357.1,0.847,,,,,,,,,,113.5,3357.1,0.847,,,,,,,,
110.8,3626,0.8466,,,,,,,,,,110.8,3626,0.8466,,,,,,,,
116.2,3273.6,0.846,,,,,,,,,,116.2,3273.6,0.846,,,,,,,,
110,3886.5,0.8458,,,,,,,,,,110,3886.5,0.8458,,,,,,,,
111.3,3512,0.8458,,,,,,,,,,111.3,3512,0.8458,,,,,,,,
116,3273.3,0.8452,,,,,,,,,,116,3273.3,0.8452,,,,,,,,
120.4,3209.3,0.8446,,,,,,,,,,120.4,3209.3,0.8446,,,,,,,,
113.4,3352.6,0.8444,,,,,,,,,,113.4,3352.6,0.8444,,,,,,,,
110.9,3568.6,0.8442,,,,,,,,,,110.9,3568.6,0.8442,,,,,,,,
112.2,3413,0.8434,,,,,,,,,,112.2,3413,0.8434,,,,,,,,
121.3,3202.9,0.8428,,,,,,,,,,121.3,3202.9,0.8428,,,,,,,,
114.9,3294.2,0.8424,,,,,,,,,,114.9,3294.2,0.8424,,,,,,,,
110.2,3673.3,0.8422,,,,,,,,,,110.2,3673.3,0.8422,,,,,,,,
110.5,3606.4,0.8422,,,,,,,,,,110.5,3606.4,0.8422,,,,,,,,
112.9,3363.5,0.8422,,,,,,,,,,112.9,3363.5,0.8422,,,,,,,,
110.8,3543.8,0.842,,,,,,,,,,110.8,3543.8,0.842,,,,,,,,
125,3183,0.8418,,,,,,,,,,125,3183,0.8418,,,,,,,,
126.4,3180.4,0.8416,,,,,,,,,,126.4,3180.4,0.8416,,,,,,,,
112.1,3406,0.841,,,,,,,,,,112.1,3406,0.841,,,,,,,,
